Segment	Cluster_tbe_n75_35	GenogroupName	Cluster_tbe_n75_24	Accesion No	GenotypeName	NoRefSeq
2	2	G	1	AJ585187	22	1
2	2	G	1	JX272390	22	2
2	2	G	1	HQ222819	22	3
2	2	G	1	KY092144	22	4
2	2	G	2	KT946760	12	5
2	2	G	2	JX272500	12	6
2	2	G	2	KX164080	12	7
2	2	G	2	KC633278	12	8
2	1	J	singleton	KP196604	unclassified	9
2	1	J	3	JQ086222	15B	10
2	1	J	3	MF384479	15B	11
2	1	J	4	KP821098	15A	12
2	1	J	4	JX272470	15A	13
2	4	A	5	JX272510	11	14
2	4	A	5	JQ972862	11	15
2	4	A	5	KM580478	11	16
2	4	A	5	KM580420	11	17
2	4	A	5	KM580491	11	18
2	5	E	6	MF384478	9B	19
2	5	E	6	AB686223	9B	20
2	5	E	6	KP821080	9B	21
2	5	E	6	KP696623	9B	22
2	6	F	7	KX164130	19	23
2	6	F	7	JX272430	19	24
2	6	F	8	JQ086292	7	25
2	6	F	8	JX272550	7	26
2	6	F	8	KT945046	7	27
2	4	A	9	KX599360	17	28
2	4	A	9	JX272450	17	29
2	4	A	9	HQ222825	17	30
2	4	A	9	AJ585138	17	31
2	4	A	10	JX272520	10	32
2	4	A	10	KP339245	10	33
2	4	A	10	HQ222821	10	34
2	4	A	10	KY092150	10	35
2	4	A	11	JN162682	24	36
2	4	A	11	JX272370	24	37
2	4	A	11	KT945049	24	38
2	4	A	11	KC633277	24	39
2	4	A	11	KX164150	24	40
2	5	E	12	JX272570	5	41
2	5	E	12	KT945043	5	42
2	5	E	12	HQ241072	5	43
2	5	E	12	AJ585182	5	44
2	5	E	13	KY092146	9A	45
2	5	E	13	KY092145	9A	46
2	5	E	13	KP821086	9A	47
2	5	E	13	JX272530	9A	48
2	7	D	14	JQ086272	23	49
2	7	D	14	MF384502	23	50
2	7	D	14	JX272400	23	51
2	7	D	14	KP696671	23	52
2	8	C	15	KP339235	21	53
2	8	C	15	JX272410	21	54
2	8	C	15	MF384486	21	55
2	8	C	15	MF384498	21	56
2	8	C	15	MF384500	21	57
2	8	C	15	MG206078	21	58
2	9	B	16	KY092165	3A	59
2	9	B	16	KY092159	3A	60
2	9	B	16	KY092156	3A	61
2	9	B	16	JQ436730	3A	62
2	9	B	16	JX272590	3A	63
2	9	B	16	MF124293	3A	64
2	9	B	16	KY092157	3A	65
2	3	K	17	KR061882	27	66
2	3	K	17	KY365755	27	67
2	3	K	17	KX234079	27	68
2	3	K	17	KM200718	27	69
2	3	K	17	KU760988	27	70
2	3	K	17	KU760998	27	71
2	3	K	singleton	HM590642	26	72
2	3	K	singleton	EU839840	25	73
2	3	K	singleton	KX695171	unclassified	74
2	3	K	singleton	MF124283	unclassified	75
2	4	A	18	JX272420	20	76
2	10	H	19	KC153300	1B	77
2	10	H	19	KC879616	1B	78
2	10	H	19	KF664114	1B	79
2	10	H	19	KF563935	1B	80
2	10	H	19	KF563933	1B	81
2	10	H	19	KF563945	1B	82
2	10	H	19	KP821007	1B	83
2	10	H	19	MF384446	1B	84
2	10	H	19	MF384450	1B	85
2	10	H	19	KM099525	1B	86
2	10	H	20	KY049854	1A	87
2	10	H	20	KY092170	1A	88
2	10	H	20	JX272380	1A	89
2	10	H	20	KP820998	1A	90
2	10	H	20	KP821011	1A	91
2	10	H	20	KP821008	1A	92
2	10	H	20	KP821022	1A	93
2	11	I	21	KP339165	2B	94
2	11	I	21	AY493687	2B	95
2	11	I	21	JQ086242	2B	96
2	11	I	22	HQ222820	2A	97
2	11	I	22	KC633279	2A	98
2	11	I	22	KF986499	2A	99
2	11	I	22	HQ222824	2A	100
2	11	I	22	KP821037	2A	101
2	11	I	22	KP821036	2A	102
2	11	I	22	JX272600	2A	103
2	11	I	22	KP696603	2A	104
2	7	D	23	KX164120	18	105
2	7	D	23	HQ222818	18	106
2	7	D	23	JX272440	18	107
2	7	D	23	KY092152	18	108
2	7	D	24	JX272540	8	109
2	7	D	24	AJ585184	8	110
2	7	D	24	KP821077	8	111
2	8	C	25	KX164110	14	112
2	8	C	25	KY092147	14	113
2	8	C	25	JX272480	14	114
2	8	C	25	KP821094	14	115
2	8	C	26	GQ506489	6	116
2	8	C	26	JX272560	6	117
2	8	C	26	JX965385	6	118
2	9	B	27	AB686219	3B	119
2	9	B	27	MF384477	3B	120
2	9	B	27	JQ771814	3B	121
2	4	A	28	JX272580	4A	122
2	4	A	28	KP821071	4A	123
2	4	A	28	KY654329	4A	124
2	4	A	28	JN255883	4A	125
2	4	A	28	KP821055	4A	126
2	4	A	28	KP821044	4A	127
2	4	A	28	JX024940	4A	128
2	4	A	28	JX024950	4A	129
2	4	A	29	JX560414	4B	130
2	4	A	29	KY947349	4B	131
2	9	B	30	KX442584	13	132
2	9	B	30	KX164100	13	133
2	9	B	30	JX272490	13	134
2	9	B	30	JQ436729	13	135
2	9	B	30	JQ436734	13	136
2	9	B	singleton	AJ585150	16A	137
2	9	B	31	AB686214	16B	138
2	9	B	31	MF384480	16B	139
2	9	B	31	JQ086232	16B	140
2	9	B	31	JX272460	16B	141
2	9	B	31	KC751419	16B	142
2	9	B	31	AB686225	16B	143
2	9	B	31	KP820994	16B	144
2	9	B	31	KP820989	16B	145
