taxon	country	serotype	host	year	accession	accession_country_serotype
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686213	JPN	16	Bos taurus	1985	AB686213	AB686213/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686214	JPN	16	Bos taurus	1987	AB686214	AB686214/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686215	JPN	21	Bos taurus	1989	AB686215	AB686215/JPN/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686216	JPN	12	Culicoides sp.	1990	AB686216	AB686216/JPN/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686217	JPN	16	Bos taurus	1990	AB686217	AB686217/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686218	JPN	21	Ovis aries	1994	AB686218	AB686218/JPN/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686219	JPN	3	Bos taurus	1998	AB686219	AB686219/JPN/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686220	JPN	16	Culicoides sp.	2001	AB686220	AB686220/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686221	JPN	16	Culicoides sp.	2001	AB686221	AB686221/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686222	JPN	16	Bos taurus	2002	AB686222	AB686222/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686223	JPN	9	Culicoides sp.	2003	AB686223	AB686223/JPN/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686224	JPN	2	Culicoides sp.	2007	AB686224	AB686224/JPN/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686225	JPN	16	Culicoides sp.	2008	AB686225	AB686225/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AB686226	JPN	16	Culicoides sp.	2008	AB686226	AB686226/JPN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AF017278	USA	17	-	1962	AF017278	AF017278/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AF017279	USA	17	-	1976	AF017279	AF017279/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AF356601	FRA	2	Ovis aries	2000	AF356601	AF356601/FRA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AF481096	ZAF	2	-	-	AF481096	AF481096/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AF494094	TUN	-	-	-	AF494094	AF494094/TUN/-
alignment/PHYLO_UNC_S2/member/ncbi-curated/AF530067	-	16	-	-	AF530067	AF530067/-/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585110	ZAF	1	-	-	AJ585110	AJ585110/ZAF/1
