taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S3/member/ncbi-curated/AF017280	-	-	-	-	-	ATCC BLU-17	1962	AF017280
alignment/PHYLO_UNC_S3/member/ncbi-curated/AF017281	-	-	-	-	-	BLU-17 198	1976	AF017281
alignment/PHYLO_UNC_S3/member/ncbi-curated/AF529044	IDN	Indonesia	asia	south_eastern_asia	Bos taurus	RIVS-46	-	AF529044
alignment/PHYLO_UNC_S3/member/ncbi-curated/AF529045	IDN	Indonesia	asia	south_eastern_asia	Bos taurus	RIVS-53	1990	AF529045
alignment/PHYLO_UNC_S3/member/ncbi-curated/AF529046	IDN	Indonesia	asia	south_eastern_asia	Bos taurus	RIVS-60	1990	AF529046
alignment/PHYLO_UNC_S3/member/ncbi-curated/AF529047	IDN	Indonesia	asia	south_eastern_asia	Bos taurus	RIVS-63	1990	AF529047
alignment/PHYLO_UNC_S3/member/ncbi-curated/AF529048	AUS	Australia	oceania	australia_and_new_zealand	-	V4445	-	AF529048
alignment/PHYLO_UNC_S3/member/ncbi-curated/AM498053	NLD	Netherlands	europe	western_europe	Ovis aries	NET2006/04_field	2006	AM498053
alignment/PHYLO_UNC_S3/member/ncbi-curated/AY124371	FRA	France	europe	western_europe	-	Corsican bluetongue virus	2001	AY124371
alignment/PHYLO_UNC_S3/member/ncbi-curated/AY322428	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	CS156	-	AY322428
alignment/PHYLO_UNC_S3/member/ncbi-curated/AY493688	TWN	Taiwan	asia	eastern_asia	Capra hircus	KM	2003	AY493688
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186790	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	AUS1985/01	1985	DQ186790
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186791	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	AUS1986/02	1986	DQ186791
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186792	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/01_reference	1958	DQ186792
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186793	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/02	1959	DQ186793
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186794	CYP	Cyprus	asia	western_asia	Ovis aries	RSArrrr/04	1969	DQ186794
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186795	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/09	1942	DQ186795
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186796	PAK	Pakistan	asia	southern_asia	Ovis aries	RSArrrr/16*	1960	DQ186796
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186797	BGR	Bulgaria	europe	eastern_europe	-	BUL1999/01	1999	DQ186797
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186798	CYP	Cyprus	asia	western_asia	Ovis aries	CYP2004/01	2004	DQ186798
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186799	CYP	Cyprus	asia	western_asia	Ovis aries	CYP2004/03	2004	DQ186799
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186800	GRC	Greece	europe	southern_europe	Ovis aries	GRE1999/01	1999	DQ186800
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186801	GRC	Greece	europe	southern_europe	Ovis aries	GRE1999/04	1999	DQ186801
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186802	GRC	Greece	europe	southern_europe	Capra hircus	GRE1999/07	1999	DQ186802
alignment/PHYLO_UNC_S3/member/ncbi-curated/DQ186803	GRC	Greece	europe	southern_europe	Bos taurus	GRE1999/09	1999	DQ186803
