Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
8	Singleton	KX234085	E	1
8	1	JN255160	C	2
8	1	KU744640	C	3
8	2	EU839844	D	4
8	2	KU761004	D	5
8	2	LN713677	D	6
8	2	KU760994	D	7
8	2	KR085417	D	8
8	2	KX695177	D	9
8	3	JX272396	A	10
8	3	KY091996	A	11
8	3	KX164056	A	12
8	3	JX272566	A	13
8	3	JX680464	A	14
8	3	JX272586	A	15
8	3	JX272596	A	16
8	3	JX272376	A	17
8	3	JX272576	A	18
8	3	JX272556	A	19
8	3	KP821722	A	20
8	3	JX272606	A	21
8	3	KP821765	A	22
8	3	KP821725	A	23
8	3	KJ577121	A	24
8	3	KT317673	A	25
8	3	JX272446	A	26
8	3	KY432376	A	27
8	3	KP821801	A	28
8	3	KP821706	A	29
8	3	KP196610	A	30
8	3	KP821822	A	31
8	3	JN255899	A	32
8	3	KP821810	A	33
8	3	JX272536	A	34
8	3	JX272386	A	35
8	3	JX272546	A	36
8	3	JX272506	A	37
8	3	KP821732	A	38
8	3	KP821761	A	39
8	3	JX272436	A	40
8	3	KP821818	A	41
8	3	JX272526	A	42
8	3	JX272496	A	43
8	3	JX272476	A	44
8	3	JX272486	A	45
8	3	KX599366	A	46
8	3	JQ086228	A	47
8	3	JX272516	A	48
8	3	KP339251	A	49
8	3	KX164106	A	50
8	3	KX164156	A	51
8	3	KY092008	A	52
8	3	KY091998	A	53
8	3	KY049878	A	54
8	3	KY049860	A	55
8	3	KY091991	A	56
8	3	KX164096	A	57
8	3	KM580482	A	58
8	3	JQ972868	A	59
8	3	JX272456	A	60
8	3	KY092007	A	61
8	4	JQ771820	B	62
8	4	KP696589	B	63
8	4	GU390665	B	64
8	4	JX272466	B	65
8	4	MG206084	B	66
8	4	MH346498	B	67
8	4	KC879622	B	68
8	4	MF384851	B	69
8	4	KM099641	B	70
8	4	MF384853	B	71
8	4	JX272426	B	72
8	4	JX272416	B	73
8	4	MF384860	B	74
8	4	MF384827	B	75
8	4	MF384828	B	76
8	4	JQ086308	B	77
8	4	MF384872	B	78
8	4	KM099627	B	79
8	4	KM099640	B	80
8	4	JQ086248	B	81
8	4	KP696677	B	82
8	4	KP696569	B	83
8	4	JX272406	B	84
8	4	KP821767	B	85
8	4	KP821714	B	86
8	4	KP821718	B	87
8	4	MF615244	B	88
8	4	KP339151	B	89
8	4	KX302641	B	90
8	4	KP339221	B	91
